"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MVGJL",260.28,260.28,236.76,257.45,239.41,-7.01,591854,145536898.6,"-"
"INFIBEAM",19.29,19.29,17.71,21.2,17.71,-6.54,54301699,990462989.76,"26-Jun-2025"
"FACT",1046.25,1049.4,966.45,1037.95,973.5,-6.21,1083959,1072740024.35,"20-Sep-2024"
"ENDURANCE",2695.1,2725,2593.6,2756,2603.7,-5.53,305184,807620626.56,"09-Aug-2024"
"SUKHJITS",187.51,191.79,181.6,194.76,184.79,-5.12,121522,22449974.28,"25-Oct-2024"
"SADHNANIQ",9.9,9.9,9.9,10.43,9.9,-5.08,446040,4415796,"17-Sep-2024"
"AAKASH",12,12,11.5,12.11,11.5,-5.04,239071,2756488.63,"03-Feb-2022"
"IEL",23.98,23.98,22.81,24.02,22.81,-5.04,191585,4440940.3,"19-Sep-2024"
"ORIENTALTL",12.63,12.63,12.63,13.3,12.63,-5.04,255665,3229048.95,"05-Sep-2024"
"MFML",29.25,29.25,28.32,29.82,28.32,-5.03,5083,143950.56,"23-Sep-2024"
"CAPTRUST",75.64,75.64,71.85,75.64,71.85,-5.01,144776,10559961.44,"18-Jun-2025"
"OSIAHYPER",15,15.69,14.62,15.39,14.62,-5,3668458,54623339.62,"12-Sep-2024"
"ALMONDZ",20.7,20.75,19.77,20.92,19.89,-4.92,230907,4659703.26,"13-Sep-2024"
"SHARDACROP",813,818.9,770.5,812.25,773,-4.83,197219,155126548.83,"06-Feb-2025"
"UGROCAP",177,177,172.09,183.96,175.19,-4.77,1449665,252676609.5,"05-Jun-2025"
"OCCL",224.97,224.97,214.28,225.56,215.5,-4.46,36792,7933458.96,"23-Jul-2024"
"SHRIRAMPPS",103.85,104.27,97.86,103.6,98.98,-4.46,3420046,343441019.32,"-"
"SURAKSHA",345.95,351,334.25,349.95,334.45,-4.43,128527,43642628.12,"-"
"TIRUPATIFL",46.49,46.95,44.55,46.65,44.6,-4.39,162328,7371314.48,"20-Sep-2024"
"COMSYN",136.44,136.45,130.48,136.44,130.5,-4.35,88061,11787845.46,"23-Sep-2024"
