"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Jun-2024"
"NIFTY 500","23,216.15","23,303.65","23,190.85","23,113.20","23,296.85","-","183.65","0.79","3,04,52,79,437","83,670.36","24,573.40","19,519.85","1.46","3.70"
"KIRLOSBROS","1,860.30","2,228.00","1,860.30","1,857.40","2,215.00","-","357.60","19.25","43,49,944","903.15","2,684.00","1,422.35","17.59","-0.21"
"SAMMAANCAP","125.60","146.82","124.75","124.68","143.00","-","18.32","14.69","7,45,00,502","1,050.53","179.30","97.61","13.00","-"
"NETWORK18","54.10","63.37","53.76","53.66","61.07","-","7.41","13.81","14,59,60,782","889.78","106.00","39.66","26.63","-25.25"
"EIDPARRY","972.00","1,065.00","972.00","970.85","1,062.00","-","91.15","9.39","18,66,694","194.37","1,065.00","639.00","5.58","36.52"
"KNRCON","213.90","235.70","213.12","212.18","231.50","-","19.32","9.11","66,80,784","153.51","415.40","192.55","2.62","-33.74"
"MAHSEAMLES","691.00","742.00","691.00","687.05","737.90","-","50.85","7.40","17,73,400","129.15","814.30","566.50","6.66","8.52"
"AKUMS","541.00","587.00","540.35","536.05","575.70","-","39.65","7.40","20,50,112","117.81","1,175.90","405.00","1.67","-"
"ENDURANCE","2,520.10","2,795.00","2,518.00","2,507.10","2,692.00","-","184.90","7.38","14,48,037","390.98","2,818.30","1,675.00","15.28","3.33"
"INDIAMART","2,601.90","2,675.00","2,580.00","2,494.90","2,663.70","-","168.80","6.77","11,98,177","315.53","3,198.40","1,900.10","12.35","-0.13"
"INDIACEM","313.60","336.90","312.50","311.70","331.50","-","19.80","6.35","19,28,755","63.49","385.00","223.61","0.54","42.57"
"ALKYLAMINE","2,204.90","2,370.00","2,171.70","2,197.80","2,337.00","-","139.20","6.33","8,50,521","196.72","2,498.85","1,508.00","27.31","10.85"
"WELSPUNLIV","132.05","141.90","130.30","131.24","139.49","-","8.25","6.29","3,71,27,918","516.89","212.95","104.80","-8.05","-4.21"
"JUBLPHARMA","1,121.90","1,189.00","1,119.20","1,120.20","1,188.50","-","68.30","6.10","5,20,554","60.79","1,309.90","701.80","10.23","61.56"
"PCBL","394.00","417.40","393.30","392.70","415.95","-","23.25","5.92","28,02,701","114.31","584.40","252.00","5.37","50.88"
"MCX","8,325.00","8,808.00","8,284.50","8,216.00","8,675.00","-","459.00","5.59","27,81,460","2,399.90","8,808.00","3,620.30","33.42","126.26"
"JYOTHYLAB","323.90","340.00","320.95","321.10","338.90","-","17.80","5.54","9,95,008","32.95","595.85","300.10","-0.28","-21.43"
"SONATSOFTW","396.00","419.85","395.00","393.55","415.00","-","21.45","5.45","34,74,332","142.93","763.70","286.40","4.77","-29.69"
"ATUL","6,978.00","7,425.00","6,978.00","6,971.00","7,350.00","-","379.00","5.44","1,52,574","111.35","8,180.00","4,752.00","2.14","13.85"
"ANANTRAJ","545.00","569.90","541.40","539.80","569.05","-","29.25","5.42","34,21,846","189.87","947.90","376.15","10.49","26.06"
"BSOFT","426.90","445.50","424.30","422.75","444.25","-","21.50","5.09","66,33,939","290.89","760.45","331.00","4.44","-35.26"
"RKFORGE","647.40","687.30","647.40","646.15","678.75","-","32.60","5.05","41,79,562","281.25","1,064.05","553.00","11.07","-24.02"
"NH","1,990.00","2,098.70","1,985.20","1,989.10","2,089.00","-","99.90","5.02","6,66,043","134.62","2,098.70","1,171.00","19.39","73.39"
"TTML","63.93","66.80","63.93","63.62","66.80","-","3.18","5.00","15,83,307","10.48","111.40","50.10","-","-"
