"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"CAPTRU-RE",0.05,0.05,0.05,0.04,0.05,25,405206,20260.3,"-"
"SHEMAROO",130,152.2,130,126.84,152.2,19.99,722096,107397338.08,"21-Aug-2024"
"DANGEE",4.52,5.29,4.52,4.41,5.29,19.95,496204,2555450.6,"19-Sep-2024"
"FILATFASH",0.54,0.61,0.54,0.51,0.61,19.61,64598420,37467083.6,"20-Sep-2024"
"APLLTD",989,1095,988.9,968.9,1090.5,12.55,5100169,5453049693.11,"15-Jul-2024"
"HERANBA",310.95,351,305.05,304.4,339.95,11.68,402316,136175919.68,"05-Sep-2024"
"ARVEE",172,177.28,171,161.17,177.28,10,2276,400712.56,"20-Sep-2024"
"BAJAJINDEF",478.25,506.12,475.2,460.11,506.12,10,179227,88638505.12,"-"
"GOLDTECH",68.6,73.68,67.32,66.99,73.68,9.99,139382,10094044.44,"20-Sep-2024"
"TFL",16.4,18.05,15.02,16.41,18.05,9.99,83283,1423306.47,"04-Nov-2022"
"BESTAGRO",328.95,355.35,326.2,323.05,354.7,9.8,52050,17653798.5,"23-Sep-2024"
"SUPREME",80.35,91,80.35,81.56,88.2,8.14,692433,60961801.32,"-"
"PAVNAIND",424.8,469.6,423.3,404.2,436.3,7.94,74550,33068143.5,"22-Sep-2023"
"PROSTARM",145.8,153.9,143.45,142.18,153.13,7.7,3344669,497352280.3,"-"
"EIFFL",216.7,237.59,216.7,216.69,232.95,7.5,20643,4620522.69,"20-Sep-2024"
"INDRAMEDCO",459.35,490,458.5,449.35,482.5,7.38,1866372,897015710.64,"13-Sep-2024"
"RTNPOWER",14.65,15.9,14.6,14.39,15.45,7.37,240094465,3711860428.9,"22-Sep-2023"
"KALAMANDIR",141.5,151.35,141.48,141.14,151.22,7.14,1063183,157563720.6,"20-Sep-2024"
"HLEGLAS",449,484.9,447.75,445.35,476.55,7.01,221281,104174669.18,"19-Sep-2024"
"ALMONDZ",22.99,26.12,22.98,22.71,24.27,6.87,1779272,44321665.52,"13-Sep-2024"
