"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"INFIBE-RE",4.65,4.85,4.04,6.49,4.35,-32.97,9525729,40008061.8,"-"
"GATECHDVR",0.67,0.67,0.64,0.68,0.64,-5.88,20604201,13186688.64,"28-Apr-2025"
"FILATFASH",0.7,0.72,0.64,0.69,0.65,-5.8,36209784,24260555.28,"20-Sep-2024"
"GABRIEL",943.95,953,915.55,976.2,925.4,-5.2,1201814,1126292008.24,"30-Oct-2024"
"TIJARIA",10.28,10.35,9.39,9.89,9.39,-5.06,130171,1257451.86,"19-Sep-2024"
"ABMINTLLTD",67.28,67.28,67.28,70.83,67.28,-5.01,166,11168.48,"12-Sep-2024"
"PIGL",118.28,118.28,118.28,124.51,118.28,-5,12138,1435682.64,"23-Sep-2024"
"GLOBECIVIL",85.24,85.24,85.24,89.73,85.24,-5,72695,6196521.8,"-"
"ARSSINFRA",41,41.5,40.06,42.17,40.06,-5,14673,590001.33,"20-Sep-2024"
"FAZE3Q",621.1,621.1,590.1,621.55,591.75,-4.79,37886,22664541.78,"19-Sep-2024"
"GROBTEA",1140,1141,1110,1165.8,1111,-4.7,141,156663.69,"12-Aug-2024"
"RELINFRA",386.25,390,376.95,396.75,378.8,-4.52,2303203,877474278.94,"12-Sep-2018"
"INDOTECH",1862.8,1936.9,1862.8,1960.8,1879,-4.17,37486,70755199.86,"20-Sep-2024"
"ICDSLTD",55.12,55.12,52.9,55.12,52.9,-4.03,458,24732,"17-Sep-2024"
"SAKAR",345,348.9,335,349.45,335.6,-3.96,11191,3798225.4,"13-Sep-2024"
"IPL",223.59,225.02,213.87,223.34,214.53,-3.94,577868,126212149.88,"12-Aug-2024"
"SEMAC",523.35,540,499,523.35,502.85,-3.92,1411,723927.66,"20-Sep-2024"
"GUJRAFFIA",38.15,39,38.15,40.16,38.61,-3.86,508,19527.52,"09-Sep-2024"
"PRAXIS",13.19,13.19,12.6,13.1,12.6,-3.82,18439,235466.03,"20-Mar-2025"
"STYLEBAAZA",324.9,330,306.35,321.75,309.45,-3.82,1204711,384965400.05,"-"
