"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"GATECHDVR",0.81,0.81,0.81,0.9,0.81,-10,7549532,6115120.92,"28-Apr-2025"
"JBCHEPHARM",1705,1705,1673,1801.4,1686,-6.41,661857,1118630989.98,"07-Feb-2025"
"KTKBANK",199.5,204.83,190,207.65,194.35,-6.41,10141233,1971354282.87,"03-Sep-2024"
"ORBTEXP",221.79,222.79,212.95,229.95,215.22,-6.41,63442,13854463.96,"13-Feb-2024"
"GATECH",0.99,0.99,0.99,1.05,0.99,-5.71,4048345,4007861.55,"28-Apr-2025"
"JKCEMENT",6350,6350,5961.5,6336,5989,-5.48,129941,791869549.87,"09-Jul-2024"
"RCOM",1.58,1.65,1.57,1.66,1.57,-5.42,1597295,2507753.15,"12-Sep-2018"
"SUPREMEENG",1.76,1.76,1.76,1.86,1.76,-5.38,1294,2277.44,"22-Sep-2022"
"LCCINFOTEC",5.04,5.04,5.04,5.31,5.04,-5.08,1203,6063.12,"17-Sep-2024"
"HINDNATGLS",17.13,17.99,17.13,18.04,17.13,-5.04,28464,487588.32,"23-Sep-2024"
"OSIAHYPER",13.18,13.18,13.18,13.88,13.18,-5.04,116639,1537302.02,"12-Sep-2024"
"AAKASH",10.37,10.39,10.37,10.92,10.37,-5.04,201822,2092894.14,"03-Feb-2022"
"ORTINGLOBE",11.8,11.8,11.32,11.92,11.32,-5.03,3093,35383.92,"22-Sep-2023"
"ARSSINFRA",44.32,44.32,44.32,46.66,44.32,-5.02,33584,1488442.88,"20-Sep-2024"
"JPASSOCIAT",3.04,3.04,3.04,3.2,3.04,-5,1300664,3954018.56,"23-Sep-2024"
"MFML",30.5,30.5,28.11,29.59,28.11,-5,16819,475809.51,"23-Sep-2024"
"SEYAIND",22.79,22.79,22.79,23.99,22.79,-5,562,12807.98,"17-Dec-2020"
"UEL",310.9,319.1,310.9,327.25,310.9,-5,3268,1016380.68,"30-May-2025"
"SADHNANIQ",8.93,8.93,8.93,9.4,8.93,-5,494092,4412241.56,"17-Sep-2024"
"THOMASCOTT",409.75,409.75,383.15,403.3,383.15,-5,92307,35830808.19,"20-Sep-2024"
